LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1699365386.377493,412057.000,63201,1,B%,1,100,92
1699365387.374172,413031.000,63351,1,B%,1,100,91
1699365388.373920,414008.000,63514,1,B%,1,100,91
1699365389.374692,414986.000,63662,1,B%,1,100,90
1699365390.373418,415962.000,63823,1,B%,1,100,91
1699365391.371119,416937.000,63969,1,B%,1,100,91
1699365392.368822,417912.000,64136,1,B%,1,100,91
1699365393.370617,418891.000,64300,1,B%,1,100,90
1699365394.363202,419861.000,64449,1,B%,1,100,91
1699365395.358858,420834.000,64597,1,B%,1,100,92
1699365396.358606,421811.000,64759,1,B%,1,100,91
1699365397.354262,422784.000,64902,1,B%,1,100,91
1699365398.354010,423761.000,65065,1,B%,1,100,91
1699365399.351712,424736.000,65229,1,B%,1,100,90
1699365400.350437,425712.000,65384,1,B%,1,100,91
1699365401.346093,426685.000,65532,1,B%,1,100,92
1699365402.339702,427656.000,159,1,B%,1,100,92
1699365403.339450,428633.000,307,1,B%,1,100,90
1699365404.334083,429605.000,472,1,B%,1,100,90
1699365405.333831,430582.000,619,1,B%,1,100,91
1699365406.332556,431558.000,767,1,B%,1,100,90
1699365407.331282,432534.000,925,1,B%,1,100,90
1699365408.330007,433510.000,1073,1,B%,1,100,90
1699365409.326686,434484.000,1234,1,B%,1,100,91
1699365410.323364,435458.000,1383,1,B%,1,100,91
1699365411.320043,436432.000,1549,1,B%,1,100,91
1699365412.317745,437407.000,1697,1,B%,1,100,92
1699365413.314424,438381.000,1860,1,B%,1,100,90
1699365414.317242,439361.000,2021,1,B%,1,100,90
1699365415.315967,440337.000,2159,1,B%,1,100,90
1699365416.309576,441308.000,2324,1,B%,1,100,90
1699365417.312395,442288.000,2469,1,B%,1,100,90
1699365418.310097,443263.000,2632,1,B%,1,100,90
1699365419.309845,444240.000,2796,1,B%,1,100,89
1699365420.308571,445216.000,2943,1,B%,1,100,90
1699365421.305249,446190.000,3093,1,B%,1,100,90
1699365422.307044,447169.000,3255,1,B%,1,100,91
1699365423.302700,448142.000,3399,1,B%,1,100,91
1699365424.302448,449119.000,3561,1,B%,1,100,90
1699365425.301174,450095.000,3709,1,B%,1,100,91
1699365426.297852,451069.000,3864,1,B%,1,100,90
1699365427.300671,452049.000,4008,1,B%,1,100,91
1699365428.299396,453025.000,4170,1,B%,1,100,90
1699365429.296075,453999.000,4320,1,B%,1,100,89
1699365430.289684,454970.000,4482,1,B%,1,100,90
1699365431.283293,455941.000,4600,1,B%,1,100,91
1699365432.280994,456916.000,4732,1,B%,1,100,89
1699365433.279720,457892.000,4894,1,B%,1,100,89
1699365434.278445,458868.000,5042,1,B%,1,100,89
1699365435.274100,459841.000,5205,1,B%,1,100,90
1699365436.275896,460820.000,5358,1,B%,1,100,89
1699365437.269504,461791.000,5524,1,B%,1,100,89
1699365438.265160,462764.000,5672,1,B%,1,100,88
1699365439.264908,463741.000,5835,1,B%,1,100,89
1699365440.258517,464712.000,5978,1,B%,1,100,89
1699365441.261336,465692.000,6143,1,B%,1,100,90
1699365442.261084,466669.000,6295,1,B%,1,100,90
1699365443.256740,467642.000,6459,1,B%,1,100,89
1699365444.255465,468618.000,6604,1,B%,1,100,90
1699365445.255213,469595.000,6771,1,B%,1,100,90
1699365446.255985,470573.000,6934,1,B%,1,100,90
1699365447.252664,471547.000,7086,1,B%,1,100,90
1699365448.250366,472522.000,7231,1,B%,1,100,89
1699365449.247045,473496.000,7394,1,B%,1,100,89
1699365450.249863,474476.000,7559,1,B%,1,100,89
1699365451.244495,475448.000,7705,1,B%,1,100,87
1699365452.240151,476421.000,7858,1,B%,1,100,88
1699365453.241946,477400.000,8023,1,B%,1,100,88
1699365454.237601,478373.000,8184,1,B%,1,100,87
1699365455.238373,479351.000,8330,1,B%,1,100,88
1699365456.235052,480325.000,8497,1,B%,1,100,87
1699365457.232754,481300.000,8649,1,B%,1,100,88
1699365458.229433,482274.000,8808,1,B%,1,100,88
1699365459.223041,483245.000,8953,1,B%,1,100,89
1699365460.222790,484222.000,9115,1,B%,1,100,90
1699365461.217422,485194.000,9279,1,B%,1,100,89
1699365462.215124,486169.000,9420,1,B%,1,100,87
1699365463.216919,487148.000,9574,1,B%,1,100,88
1699365464.217691,488126.000,9735,1,B%,1,100,88
1699365465.215393,489101.000,9880,1,B%,1,100,88
1699365466.211049,490074.000,10041,1,B%,1,100,88
1699365467.206704,491047.000,10201,1,B%,1,100,88
1699365468.205429,492023.000,10350,1,B%,1,100,87
1699365469.204154,492999.000,10497,1,B%,1,100,87
1699365470.203903,493976.000,10662,1,B%,1,100,88
1699365471.203652,494953.000,10824,1,B%,1,100,88
1699365472.203400,495930.000,10974,1,B%,1,100,88
1699365473.198032,496902.000,11121,1,B%,1,100,87
1699365474.199827,497881.000,11284,1,B%,1,100,89
1699365475.198553,498857.000,11446,1,B%,1,100,88
1699365476.190115,499826.000,11590,1,B%,1,100,88
1699365477.191910,500805.000,11753,1,B%,1,100,89
1699365478.188589,501779.000,11895,1,B%,1,100,87
1699365479.185267,502753.000,12058,1,B%,1,100,88
1699365480.180923,503726.000,12204,1,B%,1,100,88
1699365481.177602,504700.000,12369,1,B%,1,100,88
1699365482.175304,505675.000,12528,1,B%,1,100,88
1699365483.174029,506651.000,12671,1,B%,1,100,89
1699365484.173778,507628.000,12823,1,B%,1,100,89
1699365485.171479,508603.000,12984,1,B%,1,100,88
1699365486.172251,509581.000,13142,1,B%,1,100,88
1699365487.165860,510552.000,13285,1,B%,1,100,89
1699365488.166632,511530.000,13445,1,B%,1,100,89
1699365489.165357,512506.000,13600,1,B%,1,100,88
1699365490.162036,513480.000,13747,1,B%,1,100,88
1699365491.160761,514456.000,13908,1,B%,1,100,88
1699365492.161533,515434.000,14073,1,B%,1,100,88
1699365493.164352,516414.000,14217,1,B%,1,100,88
1699365494.157960,517385.000,14364,1,B%,1,100,88
1699365495.156686,518361.000,14529,1,B%,1,100,88
1699365496.154388,519336.000,14673,1,B%,1,100,88
1699365497.147997,520307.000,14836,1,B%,1,100,88
1699365498.149792,521286.000,14997,1,B%,1,100,87
1699365499.151587,522265.000,15149,1,B%,1,100,86
1699365500.149289,523240.000,15293,1,B%,1,100,87
1699365501.148014,524216.000,15458,1,B%,1,100,89
1699365502.146739,525192.000,15603,1,B%,1,100,88
1699365503.142395,526165.000,15768,1,B%,1,100,88
1699365504.136004,527136.000,15934,1,B%,1,100,88
1699365505.131659,528109.000,16070,1,B%,1,100,88
1699365506.128338,529083.000,16233,1,B%,1,100,88
1699365507.132179,530064.000,16378,1,B%,1,100,88
1699365508.130905,531040.000,16541,1,B%,1,100,88
1699365509.124514,532011.000,16707,1,B%,1,100,88
1699365510.126309,532990.000,16857,1,B%,1,100,87
1699365511.119918,533961.000,16998,1,B%,1,100,87
1699365512.122736,534941.000,17161,1,B%,1,100,87
1699365513.121461,535917.000,17323,1,B%,1,100,87
1699365514.118140,536891.000,17467,1,B%,1,100,88
1699365515.116865,537867.000,17614,1,B%,1,100,87
1699365516.115591,538843.000,17775,1,B%,1,100,87
1699365517.117386,539822.000,17933,1,B%,1,100,87
