RD,TS_received,TS_sent,AK,RoundTrip,
53688,58792,2023-11-07_14-50-19-960947,58795,5104,
58795,63916,2023-11-07_14-50-25-286174,63919,5121,
63919,69041,2023-11-07_14-50-30-246031,69049,5122,
69061,69088,2023-11-07_14-50-35-409270,69091,27,
74152,79269,2023-11-07_14-50-41-111332,79278,5117,
79289,84408,2023-11-07_14-50-46-116800,84417,5119,
84429,89514,2023-11-07_14-50-51-234903,89523,5085,
89535,94643,2023-11-07_14-50-56-454731,94651,5108,
94664,99767,2023-11-07_14-51-02-043422,99769,5103,
99770,
104868,
109976,
158638,163755,2023-11-07_14-52-07-282211,163757,5117,
163758,163789,2023-11-07_14-52-12-355219,163815,31,
168854,173973,2023-11-07_14-52-18-172421,173976,5119,
173976,179080,2023-11-07_14-52-23-612396,179083,5104,
179083,184210,2023-11-07_14-52-28-438566,184213,5127,
184214,189317,2023-11-07_14-52-34-284313,189321,5103,
189322,194426,2023-11-07_14-52-39-955023,194429,5104,
194429,199535,2023-11-07_14-52-45-303903,199538,5106,
199538,
204653,209768,2023-11-07_14-52-54-947058,209777,5115,
209790,214915,2023-11-07_14-53-00-664728,214923,5125,
214935,0,,220071,-214935,
220071,225187,2023-11-07_14-53-11-067844,225196,5116,
225209,230304,2023-11-07_14-53-16-704573,230313,5095,
230325,235414,2023-11-07_14-53-21-976333,235423,5089,
235435,240540,2023-11-07_14-53-26-704898,240549,5105,
240561,
245640,250763,2023-11-07_14-53-37-242008,250766,5123,
250767,255872,2023-11-07_14-53-42-678405,255874,5105,
255875,0,,260989,-255875,
261001,266096,2023-11-07_14-53-53-331721,266105,5095,
266117,271203,2023-11-07_14-53-58-823734,271207,5086,
271207,276313,2023-11-07_14-54-03-854869,276322,5106,
276334,
281439,0,,286549,-281439,
286556,291698,2023-11-07_14-54-19-065173,291701,5142,
291701,296813,2023-11-07_14-54-24-160836,296816,5112,
296816,301920,2023-11-07_14-54-30-104741,301923,5104,
301923,307029,2023-11-07_14-54-35-241127,307038,5106,
307041,312149,2023-11-07_14-54-40-291535,312159,5108,
312171,317285,2023-11-07_14-54-46-087478,317293,5114,
317305,322436,2023-11-07_14-54-51-021093,322444,5131,
322456,327567,2023-11-07_14-54-56-308148,327570,5111,
327570,0,,332676,-327570,
332689,337820,2023-11-07_14-55-06-918849,337828,5131,
337840,342927,2023-11-07_14-55-12-131109,342936,5087,
342948,348035,2023-11-07_14-55-16-878121,348044,5087,
348056,353143,2023-11-07_14-55-21-816275,353152,5087,
353164,
358260,363382,2023-11-07_14-55-32-465803,363385,5122,
363385,368516,2023-11-07_14-55-37-609463,368518,5131,
368519,373652,2023-11-07_14-55-42-901743,373661,5133,
373673,378781,2023-11-07_14-55-48-759063,378784,5108,
378784,383888,2023-11-07_14-55-53-599800,383897,5104,
383909,388996,2023-11-07_14-55-59-123141,388999,5087,
388999,394103,2023-11-07_14-56-04-140017,394113,5104,
394124,
399226,404373,2023-11-07_14-56-15-356764,404382,5147,
404395,
409503,
414629,419745,2023-11-07_14-56-29-887718,419748,5116,
419748,424870,2023-11-07_14-56-35-718094,424880,5122,
424892,
429970,435091,2023-11-07_14-56-45-979209,435094,5121,
435094,440215,2023-11-07_14-56-50-761078,440223,5121,
440236,0,,445316,-440236,
445316,450430,2023-11-07_14-57-01-715435,450440,5114,
450452,455538,2023-11-07_14-57-07-432469,455541,5086,
455541,460646,2023-11-07_14-57-12-536399,460655,5105,
460668,465789,2023-11-07_14-57-18-003216,465799,5121,
465811,0,,470903,-465811,
470903,476017,2023-11-07_14-57-28-356841,476020,5114,
476020,481133,2023-11-07_14-57-33-375219,481136,5113,
481136,486250,2023-11-07_14-57-38-314141,486259,5114,
486272,491384,2023-11-07_14-57-45-141430,491386,5112,
491387,496500,2023-11-07_14-57-49-477282,496503,5113,
496503,
501600,506717,2023-11-07_14-57-59-081685,506726,5117,
506738,511844,2023-11-07_14-58-04-656402,511853,5106,
511865,516980,2023-11-07_14-58-09-549465,516988,5115,
517001,522112,2023-11-07_14-58-14-960447,522121,5111,
522133,527220,2023-11-07_14-58-20-138513,527229,5087,
527242,532342,2023-11-07_14-58-25-504195,532351,5100,
532355,537466,2023-11-07_14-58-31-083317,537468,5111,
537469,542577,2023-11-07_14-58-36-258421,542580,5108,
542580,547722,2023-11-07_14-58-41-165541,547730,5142,
547742,552830,2023-11-07_14-58-47-373860,552832,5088,
552833,
557929,563045,2023-11-07_14-58-57-080400,563048,5116,
563048,568176,2023-11-07_14-59-02-053335,568185,5128,
568198,573311,2023-11-07_14-59-07-733087,573313,5113,
573314,578426,2023-11-07_14-59-13-286457,578429,5112,
578429,583533,2023-11-07_14-59-18-246840,583543,5104,
583555,588684,2023-11-07_14-59-22-990042,588693,5129,
588705,593815,2023-11-07_14-59-28-139693,593817,5110,
