LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1699365017.913356,51977,5890,1,HR,1,100,12
1699365019.682614,53706,6171,1,HR,1,100,15
1699365020.936137,54931,6351,1,HR,1,100,19
1699365023.396112,57335,6701,1,HR,1,100,19
1699365026.024929,59904,7093,1,HR,1,100,20
1699365027.474922,61321,7340,1,HR,1,100,22
1699365030.239836,64023,7766,1,HR,1,100,22
1699365032.102213,65843,8047,1,HR,1,100,23
1699365033.175638,66892,8228,1,HR,1,100,27
1699365037.609528,71225,8930,1,HR,1,100,26
1699365039.025753,72609,9140,1,HR,1,100,28
1699365041.806016,75326,9566,1,HR,1,100,27
1699365047.922185,81303,10513,1,HR,1,100,25
1699365052.393937,85673,11217,1,HR,1,100,24
1699365055.733936,88937,11727,1,HR,1,100,23
1699365057.395749,90561,11976,1,HR,1,100,25
1699365058.398568,91541,12124,1,HR,1,100,29
1699365060.897428,93983,12508,1,HR,1,100,28
1699365063.149676,96184,12865,1,HR,1,100,28
1699365066.587910,99544,13395,1,HR,1,100,27
1699365069.034583,101935,13769,1,HR,1,100,27
1699365069.967818,102847,13916,1,HR,1,100,31
1699365072.578216,105398,14325,1,HR,1,100,30
1699365075.147682,107909,14735,1,HR,1,100,29
1699365076.437020,109169,14930,1,HR,1,100,31
1699365078.538845,111223,15239,1,HR,1,100,31
1699365080.309127,112953,15512,1,HR,1,100,31
1699365081.916706,114524,15772,1,HR,1,100,32
1699365086.746607,119244,16520,1,HR,1,100,30
1699365087.922361,120393,16695,1,HR,1,100,32
1699365088.934389,121382,16854,1,HR,1,100,36
1699365114.516491,146382,20940,1,HR,1,100,32
1699365116.567152,148386,21258,1,HR,1,100,31
1699365119.191876,150951,21656,1,HR,1,100,30
1699365122.483781,154168,22165,1,HR,1,100,29
1699365123.970613,155621,22405,1,HR,1,100,30
1699365126.436727,158031,22774,1,HR,1,100,30
1699365129.609931,161132,23247,1,HR,1,100,28
1699365130.781592,162277,23424,1,HR,1,100,31
1699365132.352333,163812,23660,1,HR,1,100,32
1699365153.266213,184250,26933,1,HR,1,100,29
1699365154.438897,185396,27108,1,HR,1,100,31
1699365156.641004,187548,27445,1,HR,1,100,31
1699365158.548406,189412,27738,1,HR,1,100,31
1699365160.041377,190871,27982,1,HR,1,100,32
1699365161.766634,192557,28239,1,HR,1,100,32
1699365163.139881,193899,28453,1,HR,1,100,34
1699365166.117638,196809,28909,1,HR,1,100,32
1699365168.240952,198884,29251,1,HR,1,100,32
1699365169.648992,200260,29464,1,HR,1,100,33
1699365170.577110,201167,29611,1,HR,1,100,37
1699365171.991289,202549,29819,1,HR,1,100,38
1699365174.078788,204589,30139,1,HR,1,100,37
1699365175.249425,205733,30317,1,HR,1,100,38
1699365176.298291,206758,30477,1,HR,1,100,41
1699365177.455626,207889,30669,1,HR,1,100,42
1699365178.466630,208877,30817,1,HR,1,100,44
1699365179.516520,209903,30987,1,HR,1,100,46
1699365180.115141,210488,31069,1,HR,1,100,52
1699365181.483272,211825,31296,1,HR,1,100,51
1699365182.376599,212698,31428,1,HR,1,100,53
1699365184.265582,214544,31715,1,HR,1,100,51
1699365186.158657,216394,32012,1,HR,1,100,48
1699365187.127707,217341,32157,1,HR,1,100,50
1699365188.174527,218364,32321,1,HR,1,100,51
1699365189.092412,219261,32468,1,HR,1,100,53
1699365190.222118,220365,32635,1,HR,1,100,53
1699365192.113147,222213,32944,1,HR,1,100,50
1699365193.167130,223243,33109,1,HR,1,100,51
1699365194.142320,224196,33257,1,HR,1,100,53
1699365195.014158,225048,33405,1,HR,1,100,54
1699365196.031302,226042,33557,1,HR,1,100,55
1699365196.805928,226799,33674,1,HR,1,100,58
1699365198.004194,227970,33867,1,HR,1,100,57
1699365199.745823,229672,34129,1,HR,1,100,54
1699365201.479267,231366,34395,1,HR,1,100,52
1699365202.513807,232377,34559,1,HR,1,100,53
1699365203.410204,233253,34687,1,HR,1,100,55
1699365204.424278,234244,34851,1,HR,1,100,55
